r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
8/3nkp1Q/p4p2/1p2p2P/4N1q1/1P4P1/P4PK1/8, f5, f3, black
r1bk1b1r/ppp2Qpp/8/3Bp1q1/3n4/8/PPPP1PPP/RNB1K2R, Be4, Be6, white
2r2rk1/qp2b1pp/p1n1b3/2p2p2/Q1Np4/1N1P2P1/PP2PPBP/2R2RK1, Ncd2, b5, white
1r2r3/2q2nkp/p1np1pp1/2pb4/2P1PPP1/3Q3P/P2N2B1/R2R2K1, Qxd5, Nb4, white
rr4k1/3nppbp/b2p1np1/q1pP4/8/1PN2NP1/P1QBPPBP/R4RK1, Qa3, Nb1, black
5r1k/4p1bp/3pB1p1/q1pP2N1/2nr1P2/8/1P4PP/1RB2QK1, Qe2, Qa2, white
r3r2k/5P1p/p2p2pb/1p1Qn3/PqpB4/7P/RPB3P1/5R1K, Rf8, Bc3, black
2r5/3n1pk1/r1Np1qp1/3PP2p/1R3Pn1/2N3Q1/1P4K1/4R3, Qf5, Nd4, black
nr2r2k/R5bp/2PQn1p1/8/1p2N1P1/1qp4P/1P4K1/1BB2R2, Re7, c2, white
2b3k1/8/6pp/3KN3/n2B1P2/6P1/7P/8, Kh7, Kc4, black
r4r1k/pp2p2p/6p1/5p1b/2Bn4/PP3N1q/3N1P2/R2Q1RK1, Ng5, Qh4, white
4n2k/3qNpbp/3P2p1/1r2P3/2p2P2/2Qn4/1P2R1PP/2B4K, h3, Nxd6, white
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
8/3nkp1Q/p4p2/1p2p2P/4N1q1/1P4P1/P4PK1/8, f5, f3, black
r1bk1b1r/ppp2Qpp/8/3Bp1q1/3n4/8/PPPP1PPP/RNB1K2R, Be4, Be6, white
2r2rk1/qp2b1pp/p1n1b3/2p2p2/Q1Np4/1N1P2P1/PP2PPBP/2R2RK1, Ncd2, b5, white
1r2r3/2q2nkp/p1np1pp1/2pb4/2P1PPP1/3Q3P/P2N2B1/R2R2K1, Qxd5, Nb4, white
rr4k1/3nppbp/b2p1np1/q1pP4/8/1PN2NP1/P1QBPPBP/R4RK1, Qa3, Nb1, black
5r1k/4p1bp/3pB1p1/q1pP2N1/2nr1P2/8/1P4PP/1RB2QK1, Qe2, Qa2, white
r3r2k/5P1p/p2p2pb/1p1Qn3/PqpB4/7P/RPB3P1/5R1K, Rf8, Bc3, black
2r5/3n1pk1/r1Np1qp1/3PP2p/1R3Pn1/2N3Q1/1P4K1/4R3, Qf5, Nd4, black
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
8/3nkp1Q/p4p2/1p2p2P/4N1q1/1P4P1/P4PK1/8, f5, f3, black
r1bk1b1r/ppp2Qpp/8/3Bp1q1/3n4/8/PPPP1PPP/RNB1K2R, Be4, Be6, white
2r2rk1/qp2b1pp/p1n1b3/2p2p2/Q1Np4/1N1P2P1/PP2PPBP/2R2RK1, Ncd2, b5, white
1r2r3/2q2nkp/p1np1pp1/2pb4/2P1PPP1/3Q3P/P2N2B1/R2R2K1, Qxd5, Nb4, white
rr4k1/3nppbp/b2p1np1/q1pP4/8/1PN2NP1/P1QBPPBP/R4RK1, Qa3, Nb1, black
5r1k/4p1bp/3pB1p1/q1pP2N1/2nr1P2/8/1P4PP/1RB2QK1, Qe2, Qa2, white
r3r2k/5P1p/p2p2pb/1p1Qn3/PqpB4/7P/RPB3P1/5R1K, Rf8, Bc3, black
2r5/3n1pk1/r1Np1qp1/3PP2p/1R3Pn1/2N3Q1/1P4K1/4R3, Qf5, Nd4, black
nr2r2k/R5bp/2PQn1p1/8/1p2N1P1/1qp4P/1P4K1/1BB2R2, Re7, c2, white
2b3k1/8/6pp/3KN3/n2B1P2/6P1/7P/8, Kh7, Kc4, black
r4r1k/pp2p2p/6p1/5p1b/2Bn4/PP3N1q/3N1P2/R2Q1RK1, Ng5, Qh4, white
4n2k/3qNpbp/3P2p1/1r2P3/2p2P2/2Qn4/1P2R1PP/2B4K, h3, Nxd6, white
r1b3k1/1pp3pn/p1n2r2/2Bpp2p/7P/P2B1P2/1PP1N1P1/R4RK1, f4, e4, white
rnb1kb1r/ppp2ppp/4p3/8/3P4/3B2N1/PPP2PqP/R2QK1NR, b6, Be4, black
2k1rn2/1ppq1p1r/p2p1B1p/P2P2pQ/2P2p2/1PN1b2P/R5P1/5R1K, b4, Qf5, white
2brr1k1/4npb1/p1pq2p1/3pp1Bp/4P2Q/3BR1N1/PPP2PPP/3R2K1, Be2, f6, white
5rk1/pp3ppp/2b2q1r/2p4P/3p2Q1/PP1P1PR1/1BP5/1K5R, g6, Bc1, black
2kr4/pp2R1p1/6q1/3n1r1p/1P6/2Pp1Q1P/P2P1PP1/R1B3K1, Qe4, Nxe7, white
1r2kb1r/2q2ppp/Q4n2/4p3/8/4B3/PP3PPP/R2R2K1, Be7, Rac1, white
4r1k1/R7/4b1PB/p2p1p2/8/5K2/2P5/8, Rc8, Re7, black
r4rk1/1pp2ppp/2N1b3/p1p5/P3P3/1P4N1/1bP2PPP/R2R2K1, Rab1, Bf6, white
8/p1p2ppp/2pk4/4p3/4P3/1PP2PPP/P3K3/1N4b1, Bh2, Kf2, black
r3k2N/pppn2pp/8/3q1n2/Q7/2Pp3P/PP3bP1/RNBK2R1, Rf1, Qxg2, white
2kr3r/pp2bp1p/2n1b3/2P3pq/QP1P4/N3BPP1/P4K1P/3R2NR, Kb8, b5, black
r3k2r/pp2nppp/2n1p3/7b/3P4/1QP2N1P/1R2BPP1/q1B2RK1, O-O, Ra2, black
r2qk2r/ppp2ppp/3b1n2/3PnbB1/5P2/P1N5/1P2P1PP/R2QKBNR, Neg4, e4, black
3rr2k/1pb2q1p/p3bp2/2p1n3/2PpBQ1N/PP4P1/3NPP1P/3RR1K1, Qh6, Ng4, white
2kr2nr/ppp4p/8/2b1P3/2PnPB2/P1qB1P2/3N3P/R2Q1R1K, Qb1, Ne6, white
2kr1b2/ppp2p1p/2n2p2/8/3P2q1/3BB1Nb/PQP2P1P/R4RK1, Qf3, Be4, black
1r1r1bk1/pp3ppp/nn1p2b1/P1pP1q2/2P5/Q1N1BN1P/1P2BPP1/2RR2K1, Nd7, g4, black
8/3nkp1Q/p4p2/1p2p2P/4N1q1/1P4P1/P4PK1/8, f5, f3, black
r1bk1b1r/ppp2Qpp/8/3Bp1q1/3n4/8/PPPP1PPP/RNB1K2R, Be4, Be6, white
2r2rk1/qp2b1pp/p1n1b3/2p2p2/Q1Np4/1N1P2P1/PP2PPBP/2R2RK1, Ncd2, b5, white
1r2r3/2q2nkp/p1np1pp1/2pb4/2P1PPP1/3Q3P/P2N2B1/R2R2K1, Qxd5, Nb4, white
rr4k1/3nppbp/b2p1np1/q1pP4/8/1PN2NP1/P1QBPPBP/R4RK1, Qa3, Nb1, black
5r1k/4p1bp/3pB1p1/q1pP2N1/2nr1P2/8/1P4PP/1RB2QK1, Qe2, Qa2, white
r3r2k/5P1p/p2p2pb/1p1Qn3/PqpB4/7P/RPB3P1/5R1K, Rf8, Bc3, black
2r5/3n1pk1/r1Np1qp1/3PP2p/1R3Pn1/2N3Q1/1P4K1/4R3, Qf5, Nd4, black
nr2r2k/R5bp/2PQn1p1/8/1p2N1P1/1qp4P/1P4K1/1BB2R2, Re7, c2, white
2b3k1/8/6pp/3KN3/n2B1P2/6P1/7P/8, Kh7, Kc4, black
r4r1k/pp2p2p/6p1/5p1b/2Bn4/PP3N1q/3N1P2/R2Q1RK1, Ng5, Qh4, white
4n2k/3qNpbp/3P2p1/1r2P3/2p2P2/2Qn4/1P2R1PP/2B4K, h3, Nxd6, white
r1b1k1nr/ppp2ppp/3p4/4p3/2BnPP1q/2NP4/PPP3PP/R1BQ1KR1, Nd5, Bg4, white
rn1qkb1r/ppp2ppp/4b3/4P3/2p5/5Q2/PPP2PPP/RNB1K1NR, Qxb7, Bd5, white
r2q1rk1/ppp1nppp/2n2b2/1B2pb2/6P1/2PP1N1P/PP3P2/RNBQR1K1, Bg6, g5, black
